"id";"descripcion";"provincia"
"1215";"SANTA ELENA";"5"
"1216";"SANTA LUCÍA";"5"
"1217";"SANTA LUISA";"5"
"1218";"SAUCE DE LUNA";"5"
"1219";"SAUCE MONTRULL";"5"
"1220";"SAUCE PINTO";"5"
"1221";"SAUCE SUR";"5"
"1222";"SEGUÍ";"5"
"1223";"SIR LEONARD";"5"
"1224";"SOSA";"5"
"1225";"TABOSSI";"5"
"1226";"TEZANOS PINTO";"5"
"1227";"UBAJAY";"5"
"1228";"URDINARRAIN";"5"
"1229";"VEINTE DE SEPTIEMBRE";"5"
"1230";"VIALE";"5"
"1231";"VICTORIA";"5"
"1232";"VILLA CLARA";"5"
"1233";"VILLA DEL ROSARIO";"5"
"1234";"VILLA DOMÍNGUEZ";"5"
"1235";"VILLA ELISA";"5"
"1236";"VILLA FONTANA";"5"
"1237";"VILLA GDOR. ETCHEVEHERE";"5"
"1238";"VILLA MANTERO";"5"
"1239";"VILLA PARANACITO";"5"
"1240";"VILLA URQUIZA";"5"
"1241";"VILLAGUAY";"5"
"1242";"WALTER MOSS";"5"
"1243";"YACARÉ";"5"
"1244";"YESO OESTE";"5"
"1245";"BUENA VISTA";"18"
"1246";"CLORINDA";"18"
"1247";"COL. PASTORIL";"18"
"1248";"CTE. FONTANA";"18"
"1249";"EL COLORADO";"18"
"1250";"EL ESPINILLO";"18"
"1251";"ESTANISLAO DEL CAMPO";"18"
"1252";"10";"18"
"1253";"FORTÍN LUGONES";"18"
"1254";"GRAL. LUCIO V. MANSILLA";"18"
"1255";"GRAL. MANUEL BELGRANO";"18"
"1256";"GRAL. MOSCONI";"18"
"1257";"GRAN GUARDIA";"18"
"1258";"HERRADURA";"18"
"1259";"IBARRETA";"18"
"1260";"ING. JUÁREZ";"18"
"1261";"LAGUNA BLANCA";"18"
"1262";"LAGUNA NAICK NECK";"18"
"1263";"LAGUNA YEMA";"18"
"1264";"LAS LOMITAS";"18"
"1265";"LOS CHIRIGUANOS";"18"
"1266";"MAYOR V. VILLAFAÑE";"18"
"1267";"MISIÓN SAN FCO.";"18"
"1268";"PALO SANTO";"18"
"1269";"PIRANÉ";"18"
"1270";"POZO DEL MAZA";"18"
"1271";"RIACHO HE-HE";"18"
"1272";"SAN HILARIO";"18"
"1273";"SAN MARTÍN II";"18"
"1274";"SIETE PALMAS";"18"
"1275";"SUBTENIENTE PERÍN";"18"
"1276";"TRES LAGUNAS";"18"
"1277";"VILLA DOS TRECE";"18"
"1278";"VILLA ESCOLAR";"18"
"1279";"VILLA GRAL. GÜEMES";"18"
"1280";"ABDON CASTRO TOLAY";"6"
"1281";"ABRA PAMPA";"6"
"1282";"ABRALAITE";"6"
"1283";"AGUAS CALIENTES";"6"
"1284";"ARRAYANAL";"6"
"1285";"BARRIOS";"6"
"1286";"CAIMANCITO";"6"
"1287";"CALILEGUA";"6"
"1288";"CANGREJILLOS";"6"
"1289";"CASPALA";"6"
"1290";"CATUÁ";"6"
"1291";"CIENEGUILLAS";"6"
"1292";"CORANZULLI";"6"
"1293";"CUSI-CUSI";"6"
"1294";"EL AGUILAR";"6"
"1295";"EL CARMEN";"6"
"1296";"EL CÓNDOR";"6"
"1297";"EL FUERTE";"6"
"1298";"EL PIQUETE";"6"
"1299";"EL TALAR";"6"
"1300";"FRAILE PINTADO";"6"
"1301";"HIPÓLITO YRIGOYEN";"6"
"1302";"HUACALERA";"6"
"1303";"HUMAHUACA";"6"
"1304";"LA ESPERANZA";"6"
"1305";"LA MENDIETA";"6"
"1306";"LA QUIACA";"6"
"1307";"LEDESMA";"6"
"1308";"LIBERTADOR GRAL. SAN MARTIN";"6"
"1309";"MAIMARA";"6"
"1310";"MINA PIRQUITAS";"6"
"1311";"MONTERRICO";"6"
"1312";"PALMA SOLA";"6"
"1313";"PALPALÁ";"6"
"1314";"PAMPA BLANCA";"6"
"1315";"PAMPICHUELA";"6"
"1316";"PERICO";"6"
"1317";"PUESTO DEL MARQUÉS";"6"
"1318";"PUESTO VIEJO";"6"
"1319";"PUMAHUASI";"6"
"1320";"PURMAMARCA";"6"
"1321";"RINCONADA";"6"
"1322";"RODEITOS";"6"
"1323";"ROSARIO DE RÍO GRANDE";"6"
"1324";"SAN ANTONIO";"6"
"1325";"SAN FRANCISCO";"6"
"1326";"SAN PEDRO";"6"
"1327";"SAN RAFAEL";"6"
"1328";"SAN SALVADOR";"6"
"1329";"SANTA ANA";"6"
"1330";"SANTA CATALINA";"6"
"1331";"SANTA CLARA";"6"
"1332";"SUSQUES";"6"
"1333";"TILCARA";"6"
"1334";"TRES CRUCES";"6"
"1335";"TUMBAYA";"6"
"1336";"VALLE GRANDE";"6"
"1337";"VINALITO";"6"
"1338";"VOLCÁN";"6"
"1339";"YALA";"6"
"1340";"YAVÍ";"6"
"1341";"YUTO";"6"
"1342";"ABRAMO";"21"
"1343";"ADOLFO VAN PRAET";"21"
"1344";"AGUSTONI";"21"
"1345";"ALGARROBO DEL AGUILA";"21"
"1346";"ALPACHIRI";"21"
"1347";"ALTA ITALIA";"21"
"1348";"ANGUIL";"21"
"1349";"ARATA";"21"
"1350";"ATALIVA ROCA";"21"
"1351";"BERNARDO LARROUDE";"21"
"1352";"BERNASCONI";"21"
"1353";"CALEUFÚ";"21"
"1354";"CARRO QUEMADO";"21"
"1355";"CATRILÓ";"21"
"1356";"CEBALLOS";"21"
"1357";"CHACHARRAMENDI";"21"
"1358";"COL. BARÓN";"21"
"1359";"COL. SANTA MARÍA";"21"
"1360";"CONHELO";"21"
"1361";"CORONEL HILARIO LAGOS";"21"
"1362";"CUCHILLO-CÓ";"21"
"1363";"DOBLAS";"21"
"1364";"DORILA";"21"
"1365";"EDUARDO CASTEX";"21"
"1366";"EMBAJADOR MARTINI";"21"
"1367";"FALUCHO";"21"
"1368";"GRAL. ACHA";"21"
"1369";"GRAL. MANUEL CAMPOS";"21"
"1370";"GRAL. PICO";"21"
"1371";"GUATRACHÉ";"21"
"1372";"ING. LUIGGI";"21"
"1373";"INTENDENTE ALVEAR";"21"
"1374";"JACINTO ARAUZ";"21"
"1375";"LA ADELA";"21"
"1376";"LA HUMADA";"21"
"1377";"LA MARUJA";"21"
"1378";"12";"21"
"1379";"LA REFORMA";"21"
"1380";"LIMAY MAHUIDA";"21"
"1381";"LONQUIMAY";"21"
"1382";"LOVENTUEL";"21"
"1383";"LUAN TORO";"21"
"1384";"MACACHÍN";"21"
"1385";"MAISONNAVE";"21"
"1386";"MAURICIO MAYER";"21"
"1387";"METILEO";"21"
"1388";"MIGUEL CANÉ";"21"
"1389";"MIGUEL RIGLOS";"21"
"1390";"MONTE NIEVAS";"21"
"1391";"PARERA";"21"
"1392";"PERÚ";"21"
"1393";"PICHI-HUINCA";"21"
"1394";"PUELCHES";"21"
"1395";"PUELÉN";"21"
"1396";"QUEHUE";"21"
"1397";"QUEMÚ QUEMÚ";"21"
"1398";"QUETREQUÉN";"21"
"1399";"RANCUL";"21"
"1400";"REALICÓ";"21"
"1401";"RELMO";"21"
"1402";"ROLÓN";"21"
"1403";"RUCANELO";"21"
"1404";"SARAH";"21"
"1405";"SPELUZZI";"21"
"1406";"STA. ISABEL";"21"
"1407";"STA. ROSA";"21"
"1408";"STA. TERESA";"21"
"1409";"TELÉN";"21"
"1410";"TOAY";"21"
"1411";"TOMAS M. DE ANCHORENA";"21"
"1412";"TRENEL";"21"
"1413";"UNANUE";"21"
"1414";"URIBURU";"21"
"1415";"VEINTICINCO DE MAYO";"21"
"1416";"VERTIZ";"21"
"1417";"VICTORICA";"21"
"1418";"VILLA MIRASOL";"21"
"1419";"WINIFREDA";"21"
"1420";"ARAUCO";"8"
"1421";"CAPITAL";"8"
"1422";"CASTRO BARROS";"8"
"1423";"CHAMICAL";"8"
"1424";"CHILECITO";"8"
"1425";"CORONEL F. VARELA";"8"
"1426";"FAMATINA";"8"
"1427";"GRAL. A.V.PEÑALOZA";"8"
"1428";"GRAL. BELGRANO";"8"
"1429";"GRAL. J.F. QUIROGA";"8"
"1430";"GRAL. LAMADRID";"8"
"1431";"GRAL. OCAMPO";"8"
"1432";"GRAL. SAN MARTÍN";"8"
"1433";"INDEPENDENCIA";"8"
"1434";"ROSARIO PENALOZA";"8"
"1435";"SAN BLAS DE LOS SAUCES";"8"
"1436";"SANAGASTA";"8"
"1437";"VINCHINA";"8"
"1438";"CAPITAL";"7"
"1439";"CHACRAS DE CORIA";"7"
"1440";"DORREGO";"7"
"1441";"GLLEN";"7"
"1442";"GODOY CRUZ";"7"
"1443";"GRAL. ALVEAR";"7"
"1444";"GUAYMALLÉN";"7"
"1445";"JUNÍN";"7"
"1446";"LA PAZ";"7"
"1447";"LAS HERAS";"7"
"1448";"LAVALLE";"7"
"1449";"LUJÁN";"7"
"1450";"LUJÁN DE CUYO";"7"
"1451";"MAIPÚ";"7"
"1452";"MALARGÜE";"7"
"1453";"RIVADAVIA";"7"
"1454";"SAN CARLOS";"7"
"1455";"SAN MARTÍN";"7"
"1456";"SAN RAFAEL";"7"
"1457";"STA. ROSA";"7"
"1458";"TUNUYÁN";"7"
"1459";"TUPUNGATO";"7"
"1460";"VILLA NUEVA";"7"
"1461";"ALBA POSSE";"19"
"1462";"ALMAFUERTE";"19"
"1463";"APÓSTOLES";"19"
"1464";"ARISTÓBULO DEL VALLE";"19"
"1465";"ARROYO DEL MEDIO";"19"
"1466";"AZARA";"19"
"1467";"BDO. DE IRIGOYEN";"19"
"1468";"BONPLAND";"19"
"1469";"CAÁ YARI";"19"
"1470";"CAMPO GRANDE";"19"
"1471";"CAMPO RAMÓN";"19"
"1472";"CAMPO VIERA";"19"
"1473";"CANDELARIA";"19"
"1474";"CAPIOVÍ";"19"
"1475";"CARAGUATAY";"19"
"1476";"CDTE. GUACURARÍ";"19"
"1477";"CERRO AZUL";"19"
"1478";"CERRO CORÁ";"19"
"1479";"COL. ALBERDI";"19"
"1480";"COL. AURORA";"19"
"1481";"COL. DELICIA";"19"
"1482";"COL. POLANA";"19"
"1483";"COL. VICTORIA";"19"
"1484";"COL. WANDA";"19"
"1485";"CONCEPCIÓN DE LA SIERRA";"19"
"1486";"CORPUS";"19"
"1487";"DOS ARROYOS";"19"
"1488";"DOS DE MAYO";"19"
"1489";"EL ALCÁZAR";"19"
"1490";"EL DORADO";"19"
"1491";"EL SOBERBIO";"19"
"1492";"ESPERANZA";"19"
"1493";"F. AMEGHINO";"19"
"1494";"FACHINAL";"19"
"1495";"GARUHAPÉ";"19"
"1496";"GARUPÁ";"19"
"1497";"GDOR. LÓPEZ";"19"
"1498";"GDOR. ROCA";"19"
"1499";"GRAL. ALVEAR";"19"
"1500";"GRAL. URQUIZA";"19"
"1501";"GUARANÍ";"19"
"1502";"H. YRIGOYEN";"19"
"1503";"IGUAZÚ";"19"
"1504";"ITACARUARÉ";"19"
"1505";"JARDÍN AMÉRICA";"19"
"1506";"LEANDRO N. ALEM";"19"
"1507";"LIBERTAD";"19"
"1508";"LORETO";"19"
"1509";"LOS HELECHOS";"19"
"1510";"MÁRTIRES";"19"
"1511";"15";"19"
"1512";"MOJÓN GRANDE";"19"
"1513";"MONTECARLO";"19"
"1514";"NUEVE DE JULIO";"19"
"1515";"OBERÁ";"19"
"1516";"OLEGARIO V. ANDRADE";"19"
"1517";"PANAMBÍ";"19"
"1518";"POSADAS";"19"
"1519";"PROFUNDIDAD";"19"
"1520";"PTO. IGUAZÚ";"19"
"1521";"PTO. LEONI";"19"
"1522";"PTO. PIRAY";"19"
"1523";"PTO. RICO";"19"
"1524";"RUIZ DE MONTOYA";"19"
"1525";"SAN ANTONIO";"19"
"1526";"SAN IGNACIO";"19"
"1527";"SAN JAVIER";"19"
"1528";"SAN JOSÉ";"19"
"1529";"SAN MARTÍN";"19"
"1530";"SAN PEDRO";"19"
"1531";"SAN VICENTE";"19"
"1532";"SANTIAGO DE LINIERS";"19"
"1533";"SANTO PIPO";"19"
"1534";"STA. ANA";"19"
"1535";"STA. MARÍA";"19"
"1536";"TRES CAPONES";"19"
"1537";"VEINTICINCO DE MAYO";"19"
"1538";"WANDA";"19"
"1539";"AGUADA SAN ROQUE";"20"
"1540";"ALUMINÉ";"20"
"1541";"ANDACOLLO";"20"
"1542";"AÑELO";"20"
"1543";"BAJADA DEL AGRIO";"20"
"1544";"BARRANCAS";"20"
"1545";"BUTA RANQUIL";"20"
"1546";"CAPITAL";"20"
"1547";"CAVIAHUÉ";"20"
"1548";"CENTENARIO";"20"
"1549";"CHORRIACA";"20"
"1550";"CHOS MALAL";"20"
"1551";"CIPOLLETTI";"20"
"1552";"COVUNCO ABAJO";"20"
"1553";"COYUCO COCHICO";"20"
"1554";"CUTRAL CÓ";"20"
"1555";"EL CHOLAR";"20"
"1556";"EL HUECÚ";"20"
"1557";"EL SAUCE";"20"
"1558";"GUAÑACOS";"20"
"1559";"HUINGANCO";"20"
"1560";"LAS COLORADAS";"20"
"1561";"LAS LAJAS";"20"
"1562";"LAS OVEJAS";"20"
"1563";"LONCOPUÉ";"20"
"1564";"LOS CATUTOS";"20"
"1565";"LOS CHIHUIDOS";"20"
"1566";"LOS MICHES";"20"
"1567";"MANZANO AMARGO";"20"
"1568";"NEUQUÉN";"20"
"1569";"OCTAVIO PICO";"20"
"1570";"PASO AGUERRE";"20"
"1571";"PICÚN LEUFÚ";"20"
"1572";"PIEDRA DEL AGUILA";"20"
"1573";"PILO LIL";"20"
"1574";"PLAZA HUINCUL";"20"
"1575";"PLOTTIER";"20"
"1576";"QUILI MALAL";"20"
"1577";"RAMÓN CASTRO";"20"
"1578";"RINCÓN DE LOS SAUCES";"20"
"1579";"SAN MARTÍN DE LOS ANDES";"20"
"1580";"SAN PATRICIO DEL CHAÑAR";"20"
"1581";"SANTO TOMÁS";"20"
"1582";"SAUZAL BONITO";"20"
"1583";"SENILLOSA";"20"
"1584";"TAQUIMILÁN";"20"
"1585";"TRICAO MALAL";"20"
"1586";"VARVARCO";"20"
"1587";"VILLA CURÍ LEUVU";"20"
"1588";"VILLA DEL NAHUEVE";"20"
"1589";"VILLA DEL PUENTE PICÚN LEUVÚ";"20"
"1590";"VILLA EL CHOCÓN";"20"
"1591";"VILLA LA ANGOSTURA";"20"
"1592";"VILLA PEHUENIA";"20"
"1593";"VILLA TRAFUL";"20"
"1594";"VISTA ALEGRE";"20"
"1595";"ZAPALA";"20"
"1596";"AGUADA CECILIO";"22"
"1597";"AGUADA DE GUERRA";"22"
"1598";"ALLÉN";"22"
"1599";"ARROYO DE LA VENTANA";"22"
"1600";"ARROYO LOS BERROS";"22"
"1601";"BARILOCHE";"22"
"1602";"CALTE. CORDERO";"22"
"1603";"CAMPO GRANDE";"22"
"1604";"CATRIEL";"22"
"1605";"CERRO POLICÍA";"22"
"1606";"CERVANTES";"22"
"1607";"CHELFORO";"22"
"1608";"CHIMPAY";"22"
"1609";"CHINCHINALES";"22"
"1610";"CHIPAUQUIL";"22"
"1611";"CHOELE CHOEL";"22"
"1612";"CINCO SALTOS";"22"
"1613";"CIPOLLETTI";"22"
"1614";"CLEMENTE ONELLI";"22"
"1615";"COLÁN CONHUE";"22"
"1616";"COMALLO";"22"
"1617";"COMICÓ";"22"
"1618";"CONA NIYEU";"22"
"1619";"CORONEL BELISLE";"22"
"1620";"CUBANEA";"22"
"1621";"DARWIN";"22"
"1622";"DINA HUAPI";"22"
"1623";"EL BOLSÓN";"22"
"1624";"EL CAÍN";"22"
"1625";"EL MANSO";"22"
"1626";"GRAL. CONESA";"22"
"1627";"GRAL. ENRIQUE GODOY";"22"
"1628";"GRAL. FERNANDEZ ORO";"22"
"1629";"GRAL. ROCA";"22"
"1630";"GUARDIA MITRE";"22"
"1631";"ING. HUERGO";"22"
"1632";"ING. JACOBACCI";"22"
"1633";"LAGUNA BLANCA";"22"
"1634";"LAMARQUE";"22"
"1635";"LAS GRUTAS";"22"
"1636";"LOS MENUCOS";"22"
"1637";"LUIS BELTRÁN";"22"
"1638";"MAINQUÉ";"22"
"1639";"MAMUEL CHOIQUE";"22"
"1640";"MAQUINCHAO";"22"
"1641";"MENCUÉ";"22"
"1642";"MTRO. RAMOS MEXIA";"22"
"1643";"NAHUEL NIYEU";"22"
"1644";"NAUPA HUEN";"22"
"1645";"ÑORQUINCO";"22"
"1646";"OJOS DE AGUA";"22"
"1647";"PASO DE AGUA";"22"
"1648";"PASO FLORES";"22"
"1649";"PEÑAS BLANCAS";"22"
"1650";"PICHI MAHUIDA";"22"
"1651";"PILCANIYEU";"22"
"1652";"POMONA";"22"
"1653";"PRAHUANIYEU";"22"
"1654";"RINCÓN TRENETA";"22"
"1655";"RÍO CHICO";"22"
"1656";"RÍO COLORADO";"22"
"1657";"ROCA";"22"
"1658";"SAN ANTONIO OESTE";"22"
"1659";"SAN JAVIER";"22"
"1660";"SIERRA COLORADA";"22"
"1661";"SIERRA GRANDE";"22"
"1662";"SIERRA PAILEMÁN";"22"
"1663";"VALCHETA";"22"
"1664";"VALLE AZUL";"22"
"1665";"VIEDMA";"22"
"1666";"VILLA LLANQUÍN";"22"
"1667";"VILLA MASCARDI";"22"
"1668";"VILLA REGINA";"22"
"1669";"YAMINUÉ";"22"
"1670";"A. SARAVIA";"9"
"1671";"AGUARAY";"9"
"1672";"ANGASTACO";"9"
"1673";"ANIMANÁ";"9"
"1674";"CACHI";"9"
"1675";"CAFAYATE";"9"
"1676";"CAMPO QUIJANO";"9"
"1677";"CAMPO SANTO";"9"
"1678";"CAPITAL";"9"
"1679";"CERRILLOS";"9"
"1680";"CHICOANA";"9"
"1681";"COL. STA. ROSA";"9"
"1682";"CORONEL MOLDES";"9"
"1683";"EL BORDO";"9"
"1684";"EL CARRIL";"9"
"1685";"EL GALPÓN";"9"
"1686";"EL JARDÍN";"9"
"1687";"EL POTRERO";"9"
"1688";"EL QUEBRACHAL";"9"
"1689";"EL TALA";"9"
"1690";"EMBARCACIÓN";"9"
"1691";"GRAL. BALLIVIAN";"9"
"1692";"GRAL. GÜEMES";"9"
"1693";"GRAL. MOSCONI";"9"
"1694";"GRAL. PIZARRO";"9"
"1695";"GUACHIPAS";"9"
"1696";"HIPÓLITO YRIGOYEN";"9"
"1697";"IRUYÁ";"9"
"1698";"ISLA DE CAÑAS";"9"
"1699";"J. V. GONZALEZ";"9"
"1700";"LA CALDERA";"9"
"1701";"LA CANDELARIA";"9"
"1702";"LA MERCED";"9"
"1703";"LA POMA";"9"
"1704";"LA VIÑA";"9"
"1705";"LAS LAJITAS";"9"
"1706";"LOS TOLDOS";"9"
"1707";"METÁN";"9"
"1708";"MOLINOS";"9"
"1709";"NAZARENO";"9"
"1710";"ORÁN";"9"
"1711";"PAYOGASTA";"9"
"1712";"PICHANAL";"9"
"1713";"PROF. S. MAZZA";"9"
"1714";"RÍO PIEDRAS";"9"
"1715";"RIVADAVIA BANDA NORTE";"9"
"1716";"RIVADAVIA BANDA SUR";"9"
"1717";"ROSARIO DE LA FRONTERA";"9"
"1718";"ROSARIO DE LERMA";"9"
"1719";"SACLANTÁS";"9"
"1720";"18";"9"
"1721";"SAN ANTONIO";"9"
"1722";"SAN CARLOS";"9"
"1723";"SAN JOSÉ DE METÁN";"9"
"1724";"SAN RAMÓN";"9"
"1725";"SANTA VICTORIA E.";"9"
"1726";"SANTA VICTORIA O.";"9"
"1727";"TARTAGAL";"9"
"1728";"TOLAR GRANDE";"9"
"1729";"URUNDEL";"9"
"1730";"VAQUEROS";"9"
"1731";"VILLA SAN LORENZO";"9"
"1732";"ALBARDÓN";"10"
"1733";"ANGACO";"10"
"1734";"CALINGASTA";"10"
"1735";"CAPITAL";"10"
"1736";"CAUCETE";"10"
"1737";"CHIMBAS";"10"
"1738";"IGLESIA";"10"
"1739";"JACHAL";"10"
"1740";"NUEVE DE JULIO";"10"
"1741";"POCITO";"10"
"1742";"RAWSON";"10"
"1743";"RIVADAVIA";"10"
"1744";"19";"10"
"1745";"SAN MARTÍN";"10"
"1746";"SANTA LUCÍA";"10"
"1747";"SARMIENTO";"10"
"1748";"ULLUM";"10"
"1749";"VALLE FÉRTIL";"10"
"1750";"VEINTICINCO DE MAYO";"10"
"1751";"ZONDA";"10"
"1752";"ALTO PELADO";"11"
"1753";"ALTO PENCOSO";"11"
"1754";"ANCHORENA";"11"
"1755";"ARIZONA";"11"
"1756";"BAGUAL";"11"
"1757";"BALDE";"11"
"1758";"BATAVIA";"11"
"1759";"BEAZLEY";"11"
"1760";"BUENA ESPERANZA";"11"
"1761";"CANDELARIA";"11"
"1762";"CAPITAL";"11"
"1763";"CAROLINA";"11"
"1764";"CARPINTERÍA";"11"
"1765";"CONCARÁN";"11"
"1766";"CORTADERAS";"11"
"1767";"EL MORRO";"11"
"1768";"EL TRAPICHE";"11"
"1769";"EL VOLCÁN";"11"
"1770";"FORTÍN EL PATRIA";"11"
"1771";"FORTUNA";"11"
"1772";"FRAGA";"11"
"1773";"JUAN JORBA";"11"
"1774";"JUAN LLERENA";"11"
"1775";"JUANA KOSLAY";"11"
"1776";"JUSTO DARACT";"11"
"1777";"LA CALERA";"11"
"1778";"LA FLORIDA";"11"
"1779";"LA PUNILLA";"11"
"1780";"LA TOMA";"11"
"1781";"LAFINUR";"11"
"1782";"LAS AGUADAS";"11"
"1783";"LAS CHACRAS";"11"
"1784";"LAS LAGUNAS";"11"
"1785";"LAS VERTIENTES";"11"
"1786";"LAVAISSE";"11"
"1787";"LEANDRO N. ALEM";"11"
"1788";"LOS MOLLES";"11"
"1789";"LUJÁN";"11"
"1790";"MERCEDES";"11"
"1791";"MERLO";"11"
"1792";"NASCHEL";"11"
"1793";"NAVIA";"11"
"1794";"NOGOLÍ";"11"
"1795";"NUEVA GALIA";"11"
"1796";"PAPAGAYOS";"11"
"1797";"PASO GRANDE";"11"
"1798";"POTRERO DE LOS FUNES";"11"
"1799";"QUINES";"11"
"1800";"RENCA";"11"
"1801";"SALADILLO";"11"
"1802";"SAN FRANCISCO";"11"
"1803";"SAN GERÓNIMO";"11"
