idCorredor;IdEmpresa;IdOrigen;IdDestino;IdRetorno;OneWay;RoundTrip;TTA_Transporte;TTA_Cliente;IndTipo;Costo;Fecha;Activo;IdUsuario;equivalente;
408;2;PTO BS AS;CALCHIN;PTO BS AS;630;1260;10;12;1;65000;17/03/2021 00:00;1;3;3;
409;2;PTO BS AS;VILLA MERCEDES SL;PTO BS AS;710;1420;12;14;1;45000;26/02/2020 00:00;1;3;4;163
410;2;PTO BS AS;CNEL SUAREZ;PTO BS AS;550;1100;10;12;1;40000;24/08/2020 00:00;1;3;5;164
411;2;PTO BS AS;LA LAGUNA;PTO BS AS;600;1200;10;12;1;40000;10/08/2020 00:00;1;3;6;165
412;2;PTO BS AS;CHACABUCO;PTO BS AS;250;500;4;5;1;23000;26/02/2020 00:00;1;3;7;167
413;2;PTO BS AS;GRAL ALVEAR;PTO BS AS;250;500;5;6;1;23000;26/02/2020 00:00;1;3;8;168
414;2;PTO BS AS;GRAL CABRERA;PTO BS AS;650;1300;10;12;1;40000;02/06/2020 00:00;1;3;9;169
415;2;PTO BS AS;GRAL PICO;PTO BS AS;600;1200;10;12;1;36000;26/02/2020 00:00;1;3;10;170
416;2;PTO BS AS;HUGHES;PTO BS AS;300;600;5;6;1;40000;13/04/2021 00:00;1;3;11;171
417;2;PTO BS AS;JESUS MARIA;PTO BS AS;750;1500;14;16;1;48000;26/02/2020 00:00;1;3;12;172
418;2;PTO BS AS;JUANA KOSLAY;PTO BS AS;850;1700;12;14;1;60000;26/02/2020 00:00;1;3;13;173
419;2;PTO BS AS;LEZAMA;PTO BS AS;160;320;3;4;1;20000;16/03/2020 00:00;1;3;18;174
420;2;PTO BS AS;LINCOLN;PTO BS AS;340;680;5;6;1;23000;26/02/2020 00:00;1;3;19;175
421;2;PTO BS AS;LOCAL;PTO BS AS;15;30;2;2;1;6000;28/02/2020 00:00;1;3;20;176
422;2;PTO BS AS;MAR DEL PLATA;PTO BS AS;420;840;7;8;1;38000;22/12/2020 00:00;1;3;21;177
423;2;PTO BS AS;MARI LAUQUEN;PTO BS AS;480;960;9;10;1;32000;04/07/2020 00:00;1;3;22;178
424;2;PTO BS AS;MURPHI;PTO BS AS;390;780;7;8;1;25000;29/02/2020 00:00;1;3;23;179
425;2;PTO BS AS;ORO VERDE;PTO BS AS;450;900;9;10;1;30000;29/02/2020 00:00;1;3;24;180
426;2;PTO BS AS;PTO SAN MARTIN;PTO BS AS;330;660;6;7;1;26000;10/08/2020 00:00;1;3;25;181
427;2;PTO BS AS;ROSARIO;PTO BS AS;300;600;5;6;1;27000;09/09/2020 00:00;1;3;26;182
428;2;PTO BS AS;SAN MIGUEL DEL MONTE;PTO BS AS;120;240;3;3;1;17000;16/03/2020 00:00;1;3;27;183
429;2;PTO BS AS;TIMBUES;PTO BS AS;340;680;6;7;1;49000;02/08/2021 00:00;1;3;28;184
430;2;PTO BS AS;TORTUGUITAS;PTO BS AS;30;60;1;1;1;11000;15/03/2021 00:00;1;3;29;185
431;2;PTO BS AS;VILLA CONSTITUCION;PTO BS AS;260;520;4;5;1;23000;29/02/2020 00:00;1;3;30;186
432;2;PTO BS AS;VILLA GOB GALVEZ;PTO BS AS;300;600;5;6;1;24000;29/02/2020 00:00;1;3;31;187
433;2;PTO BS AS;TICINO;PTO BS AS;605;1210;10;12;1;38000;04/07/2020 00:00;1;2;32;188
434;2;PTO BS AS;MERCEDES ;PTO BS AS;110;220;3;3;1;18000;10/03/2020 00:00;1;2;33;189
435;2;PTO BS AS;RUEDA;PTO BS AS;280;560;4;5;1;22000;16/03/2020 00:00;1;3;34;190
436;2;PTO BS AS;SANTA EUFEMIA;PTO BS AS;550;1100;8;10;1;37000;04/07/2020 00:00;1;2;35;191
437;2;PTO BS AS;AREQUITO;PTO BS AS;380;760;7;8;1;28000;09/04/2020 00:00;1;2;36;192
438;2;PTO BS AS;SAN JERONIMO SUD;PTO BS AS;340;680;7;8;1;24000;13/04/2020 00:00;1;2;37;193
439;2;PTO BS AS;CARNERILLO;PTO BS AS;660;1320;10;11;1;40000;24/08/2020 00:00;1;2;38;194
440;2;PTO BS AS;TEMPERLEY;PTO BS AS;20;40;1;2;1;6000;15/04/2020 00:00;1;2;39;195
441;2;PTO BS AS;CHIVILCOY;PTO BS AS;150;300;4;5;1;20000;15/04/2020 00:00;1;2;40;196
442;2;PTO BS AS;DESVIO ARIJON;PTO BS AS;440;880;7;8;1;27000;20/04/2020 00:00;1;2;41;197
443;2;PTO BS AS;BASAVILBASO;PTO BS AS;330;660;5;6;1;27000;23/04/2020 00:00;1;2;42;198
444;2;PTO BS AS;JOSE LEON SUAREZ;PTO BS AS;20;40;1;2;1;6000;23/04/2020 00:00;1;1;43;199
445;2;PTO BS AS;CAPILLA DEL SEÑOR;PTO BS AS;60;120;3;4;1;15000;24/07/2020 00:00;1;2;44;200
446;2;PTO BS AS;GARIN;PTO BS AS;3;4;4;5;1;8000;28/04/2020 00:00;1;1;45;201
447;2;PTO BS AS;BERAZATEGUI;PTO BS AS;25;50;2;3;1;6000;29/04/2020 00:00;1;2;46;202
448;2;PTO BS AS;PARQUE INDUSTRIAL PILAR;PTO BS AS;50;100;2;3;1;6000;29/04/2020 00:00;1;2;49;203
449;2;PTO BS AS; BRANDSEN;PTO BS AS;23;46;1;2;1;6000;29/04/2020 00:00;1;2;50;204
450;2;PTO BS AS;FORMOSA;PTO BS AS;1200;2400;12;14;1;80000;02/05/2020 00:00;1;2;51;205
451;2;PTO BS AS;FIRMAT;PTO BS AS;400;800;8;9;1;28000;02/05/2020 00:00;1;2;52;206
452;2;PTO BS AS;BALCARCE;PTO BS AS;400;800;7;8;1;32000;02/05/2020 00:00;1;2;53;207
453;2;PTO BS AS;CASEROS;PTO BS AS;30;60;2;3;1;6000;07/05/2020 00:00;1;2;54;208
454;2;PTO BS AS;CAPITAN BERMUDEZ;PTO BS AS;320;640;6;7;1;24000;08/05/2020 00:00;1;2;55;209
455;2;PTO BS AS;LOMAS DEL MIRADOR;PTO BS AS;26;52;2;3;1;6000;14/05/2020 00:00;1;2;56;210
456;2;PTO BS AS;SAN FRANCISCO;PTO BS AS;570;1140;8;9;1;36000;14/05/2020 00:00;1;2;57;211
457;2;PTO BS AS;BAHIA BLANCA;PTO BS AS;650;1300;9;10;1;47000;19/05/2020 00:00;1;2;58;212
458;2;PTO BS AS;JUNIN;PTO BS AS;270;540;6;7;1;24000;19/05/2020 00:00;1;2;59;213
459;2;PTO BS AS;SINSACATE ;PTO BS AS;760;1520;11;13;1;45000;20/05/2020 00:00;1;2;60;214
460;2;PTO BS AS;EL TIO;PTO BS AS;655;1310;10;12;1;38000;01/06/2020 00:00;1;2;61;215
461;2;PTO BS AS;PUEBLO ESTHER;PTO BS AS;250;500;5;6;1;25000;04/07/2020 00:00;1;2;62;216
462;2;PTO BS AS;INGENIERO LUIGUI;PTO BS AS;650;1300;10;12;1;40000;24/08/2020 00:00;1;2;63;217
463;2;PTO BS AS;BARRANQUERAS;PTO BS AS;930;1860;14;15;1;70000;08/06/2020 00:00;1;3;64;218
464;2;PTO BS AS;9 DE JULIO;PTO BS AS;280;560;5;6;1;24000;09/06/2020 00:00;1;2;65;219
465;2;PTO BS AS;LUJAN DE CUYO;PTO BS AS;1100;2200;12;14;1;75000;03/07/2020 00:00;1;2;66;220
466;2;PTO BS AS;CRESPO;PTO BS AS;440;880;6;7;1;32000;04/07/2020 00:00;1;2;67;221
467;2;PTO BS AS;MENDOZA(SAN MARTIN);PTO BS AS;1066;2140;10;12;1;80000;13/07/2020 00:00;1;2;68;222
468;2;PTO BS AS;RECREO;PTO BS AS;500;1000;7;8;1;34000;21/07/2020 00:00;1;2;69;223
469;2;PTO BS AS;CAPILLA DEL SEÑOR/CAMPANA;PTO BS AS;110;220;3;4;1;15000;24/07/2020 00:00;1;2;70;224
470;2;PTO BS AS;RIO SEGUNDO;PTO BS AS;645;1290;9;10;1;42000;10/08/2020 00:00;1;2;71;225
471;2;PTO BS AS;EL TREBOL ;PTO BS AS;460;920;7;8;1;42000;11/08/2020 00:00;1;2;72;226
472;2;PTO BS AS;EL TREBOL-SANTA FE;PTO BS AS;460;920;7;8;1;42000;11/08/2020 00:00;1;2;73;227
473;2;PTO BS AS;MORTEROS;PTO BS AS;640;1280;9;11;1;43000;21/08/2020 00:00;1;2;74;228
474;2;PTO BS AS;ARROYO CABRAL;PTO BS AS;580;1160;9;10;1;40000;31/08/2020 00:00;1;2;75;229
475;2;PTO BS AS;DOCK SUD;PTO BS AS;10;20;1;2;1;3500;14/09/2020 00:00;1;2;76;230
476;2;PTO BS AS;CAMPANA;PTO BS AS;90;180;3;4;1;13000;18/09/2020 00:00;1;2;77;231
477;2;PTO BS AS;TRENQUE LAUQUEN;;400;0;6;7;0;30000;24/09/2020 00:00;1;2;78;232
478;2;PTO BS AS;ESTEBAN ECHEVERRIA;PTO BS AS;45;90;2;3;1;7000;02/10/2020 00:00;1;2;79;233
479;2;PTO BS AS;SANTA FE;PTO BS AS;500;1000;7;8;1;40000;02/10/2020 00:00;1;2;80;234
480;2;PTO BS AS;SANTA FE;;600;1200;10;12;0;45000;07/10/2020 00:00;1;2;81;235
481;2;PTO BS AS;BALCARCE/CARRETONES;PTO BS AS;400;800;7;8;1;100000;13/10/2020 00:00;1;2;82;236
482;2;PTO BS AS;HERNANDO;PTO BS AS;625;1250;9;11;1;62000;04/03/2021 00:00;1;2;83;237
483;2;PTO BS AS;LOS CARDALES;PTO BS AS;85;170;2;2;1;11000;12/11/2020 00:00;1;3;84;238
484;2;PTO BS AS;LAS FLORES;PTO BS AS;200;400;3;4;1;37000;26/04/2021 00:00;1;2;85;239
485;2;PTO BS AS;LA BANDA ;PTO BS AS;1070;2140;12;14;1;85000;16/11/2020 00:00;1;2;86;240
486;2;PTO BS AS;SAN MARTIN;PTO BS AS;15;30;1;2;1;9000;18/11/2020 00:00;1;2;87;241
487;2;PTO BS AS;FATIMA-PILAR;PTO BS AS;60;120;3;4;1;11000;04/12/2020 00:00;1;2;88;242
488;2;PTO BS AS;ALLEN-RIO NEGRO;PTO BS AS;1100;2200;15;20;1;115000;10/12/2020 00:00;1;2;90;243
489;2;PTO BS AS;LA PLATA;PTO BS AS;60;120;2;4;1;12000;14/12/2020 00:00;1;2;91;244
490;2;PTO BS AS;BECCAR;PTO BS AS;20;40;2;3;1;10000;06/01/2021 00:00;1;2;92;245
491;2;PTO BS AS;HAEDO;PTO BS AS;35;70;2;2;1;11000;12/01/2021 00:00;1;3;93;246
492;2;PTO BS AS;PARANÁ;PTO BS AS;470;940;8;9;1;55000;03/03/2021 00:00;1;2;94;247
493;2;PTO BS AS;LAS PAREJAS;PTO BS AS;410;820;6;7;1;45000;09/03/2021 00:00;1;2;95;248
494;2;PTO BS AS;LOBOS;PTO BS AS;100;200;3;4;1;20000;10/03/2021 00:00;1;2;96;249
495;2;PTO BS AS;C.A.B.A.;PTO BS AS;5;10;1;15;1;8000;25/03/2021 00:00;1;3;97;250
496;2;PTO ZARATE;BALCARCE;PTO ZARATE;480;960;8;10;1;70000;29/03/2021 00:00;1;3;98;251
497;2;PTO BS AS;SARANDI;PTO BS AS;7;14;1;1;1;15000;06/05/2021 00:00;1;3;101;252
498;2;PTO BS AS;RAFAELA;PTO BS AS;550;1100;8;9;1;70000;31/05/2021 00:00;1;3;102;253
499;2;PTO BS AS;SANTA ROSA;PTO BS AS;620;1240;8;10;1;80000;02/06/2021 00:00;1;3;103;254
500;2;PTO BS AS;ZARATE;PTO BS AS;80;160;2;3;1;25000;02/06/2021 00:00;1;3;104;255
501;2;PTO BS AS;LOS CHARRUAS;PTO BS AS;460;920;7;9;1;70000;03/06/2021 00:00;1;3;105;256
502;2;PTO BS AS;QUEQUEN;PTO BS AS;505;1010;7;8;1;70000;04/06/2021 00:00;1;3;106;257
503;2;PTO BS AS;LINCOLN-ZARATE;PTO BS AS;330;720;5;6;1;53000;04/06/2021 00:00;1;3;107;258
504;2;PTO BS AS;GUALEGUAYCHU;PTO BS AS;230;460;4;4;1;45000;07/06/2021 00:00;1;3;108;259
505;2;PTO BS AS;MONTE CASEROS;PTO BS AS;600;1200;8;9;1;80000;08/06/2021 00:00;1;3;109;260
506;2;PTO BS AS;CAÑADA ROSQUIN;PTO BS AS;450;900;9;10;1;68000;08/06/2021 00:00;1;3;110;261
507;2;PTO BS AS;GENERAL MADARIAGA;PTO BS AS;370;740;6;7;1;62000;08/06/2021 00:00;1;3;111;262
508;2;PTO BS AS;AZUL;PTO BS AS;300;600;5;6;1;60000;09/06/2021 00:00;1;3;112;263
509;2;PTO BS AS;SAN JORGE;PTO BS AS;500;1000;8;9;1;75000;09/06/2021 00:00;1;3;114;264
510;2;PTO BS AS;TAFI VIEJO - IMO;PTO BS AS;1270;2540;12;14;1;190000;09/06/2021 00:00;1;3;115;265
511;2;PTO BS AS;TANCACHA;PTO BS AS;655;1310;9;10;1;80000;11/06/2021 00:00;1;3;116;266
512;2;PTO BS AS;SAF - BARRACAS;;5;10;1;1;0;8000;11/06/2021 00:00;1;3;117;267
513;2;SAF - BARRACAS;DOCK SUD;;5;10;1;1;0;10000;11/06/2021 00:00;1;3;118;268
514;2;PTO BS AS;SAENZ PEÑA;PTO BS AS;1105;2210;15;16;1;142000;14/06/2021 00:00;1;3;119;269
515;2;PTO BS AS;PUERTO MADRYN;PTO BS AS;1300;2600;18;19;1;220000;14/06/2021 00:00;1;3;120;270
516;2;PTO BS AS;RECONQUISTA;PTO BS AS;800;1600;10;12;1;93000;17/06/2021 00:00;1;3;121;271
517;2;PTO BS AS;PQUE IND. SALTA;PTO BS AS;1500;3000;21;22;1;180000;23/06/2021 00:00;1;3;122;272
518;2;PTO BS AS;VILLA OJO DE AGUA;PTO BS AS;930;1860;15;16;1;150000;23/06/2021 00:00;1;3;123;273
519;2;PTO BS AS;EUROAMERICA (CAMPANA);;60;60;1;2;0;19000;30/06/2021 00:00;1;3;124;274
520;2;PTO BS AS;CORDOBA CAPITAL;PTO BS AS;700;1400;10;11;1;95000;01/07/2021 00:00;1;3;125;275
521;2;SAN MARTIN ;EZEIZA - AEROPUERTO;;35;70;1;2;0;8500;01/07/2021 00:00;1;3;126;276
522;2;PTO BS AS;CONCORDIA;PTO BS AS;430;860;6;7;1;65000;12/07/2021 00:00;1;3;127;277
523;2;PTO BS AS;VENADO TUERTO;PTO BS AS;380;760;6;7;1;55000;19/07/2021 00:00;1;3;128;278
524;2;PTO ZARATE;LINCOLN;PTO ZARATE;280;560;5;6;1;59000;02/08/2021 00:00;1;3;129;279
525;2;DEFISA ;BALCARCE;;420;820;5;6;1;70000;05/08/2021 00:00;1;3;131;280
526;2;PTO BS AS;SALTA;PTO BS AS;1500;3000;18;20;1;195000;05/08/2021 00:00;1;3;132;281
527;2;PTO BS AS;SALTA/JUJUY - TABACO;PTO BS AS;1500;3000;18;20;1;200000;12/08/2021 00:00;1;3;133;282
528;2;PTO BS AS;DON TORCUATO;PTO BS AS;25;50;1;2;1;19000;12/08/2021 00:00;1;3;134;283
529;2;PTO BS AS;LAVALLOL;PTO BS AS;35;70;2;3;1;25000;12/08/2021 00:00;1;3;135;284
530;2;GEMEZ BARRACAS;CORDOBA CAPITAL;;700;1400;9;10;1;80000;12/08/2021 00:00;1;5;136;285
531;2;PTO BS AS;EZEIZA;PTO BS AS;42;84;2;2;1;38000;20/08/2021 00:00;1;3;137;286
532;2;PTO BS AS;LAS LAJITAS;PTO BS AS;1460;2920;22;24;1;200000;27/08/2021 00:00;1;3;139;287
533;2;GEMEZ BARRACAS;ROSARIO;;300;600;5;6;0;43000;13/10/2021 00:00;1;3;140;288
534;2;DEFISA ;BALCARCE;PTO BS AS;410;820;7;8;1;70000;14/10/2021 00:00;1;3;141;289
535;2;PTO BS AS;LAS JUNTURAS;PTO BS AS;630;1260;8;9;1;83000;20/10/2021 00:00;1;3;142;290
536;2;PTO BS AS;VILLA DEL TOTORAL;PTO BS AS;800;1600;10;11;1;110000;26/10/2021 00:00;1;3;143;291
537;2;PTO BS AS;FLORENCIO VARELA;PTO BS AS;40;80;1;2;1;15000;28/10/2021 00:00;1;3;144;292
538;2;PTO BS AS;SANTA ISABEL;PTO BS AS;370;740;5;6;1;63000;28/10/2021 00:00;1;3;145;293
539;2;PTO BS AS;COLONIA CAROYA;PTO BS AS;750;1500;10;12;1;110000;29/10/2021 00:00;1;3;146;294
540;2;PTO BS AS;GENERAL RODRIGUEZ;PTO BS AS;50;100;2;2;1;45000;04/11/2021 00:00;1;3;147;295
541;2;PTO BS AS;TRES ARROYOS;PTO BS AS;500;1000;8;9;1;85000;09/11/2021 00:00;1;3;148;296
542;2;MERCOCARGA;GENERAL RODRIGUEZ;;45;90;2;2;0;14000;15/11/2021 00:00;1;3;149;297
543;2;PTO BS AS;PICHANAL - GRAL GUEMES;PTO BS AS;1660;3320;36;36;1;240000;19/11/2021 00:00;1;3;150;298
544;2;PTO BS AS;CHABAS;PTO BS AS;350;700;6;7;1;65000;30/11/2021 00:00;1;3;151;299
545;2;PTO BS AS;ESPINILLOS;PTO BS AS;630;1260;9;10;1;90000;02/12/2021 00:00;1;8;155;300
546;2;PTO BS AS;POZO DEL MOLLE;PTO BS AS;580;1160;7;8;1;90000;02/12/2021 00:00;1;3;156;301
547;2;ECOTANK;ARROYO SECO;PTO BS AS;270;540;4;5;1;50000;02/12/2021 00:00;1;3;157;302
548;2;PTO ZARATE;PICHANAL - GRAL GUEMES;PTO ZARATE;1568;3136;30;36;1;250000;15/12/2021 00:00;1;4;158;303
549;2;ECOTANK;ISIDRO CASANOVA;PTO BS AS;35;70;1;2;1;25000;21/12/2021 00:00;1;3;160;304
